,station,name,lat,lon,ele
1,FR000007130,"RENNES ST JACQUES, FR",48.0689,-1.7339,36
2,FR000007190,"STRASBOURG ENTZHEIM, FR",48.5492,7.6403,150
3,FR000007255,"BOURGES, FR",47.0592,2.3594,161
4,FR000007510,"BORDEAUX MERIGNAC, FR",44.8306,0.6914,47
5,FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151
6,GM000001474,"BREMEN SEEFAHRTSCHULE, GM",53.1017,8.7842,4
7,GM000003038,"SCHWERIN, GM",53.6442,11.3883,59
8,GM000003319,"BERLIN DAHLEM, GM",52.4639,13.3017,51
9,GM000003342,"POTSDAM, GM",52.3833,13.0639,81
10,GM000004063,"BAMBERG, GM",49.8753,10.9217,240
11,UKE00105918,"MANSTON, UK",51.3458,1.34,49
12,UKE00105921,"HASTINGS, UK",50.855,0.5717,45
13,UKE00105923,"HURN, UK",50.7789,-1.8339,10
14,UKE00105927,"ALICE HOLT LODGE, UK",51.1767,0.8481,115
15,UKE00107650,"HEATHROW, UK",51.4789,0.4489,25
16,USC00032794,"GILBERT, AR US",35.9885,-92.7161,184.7
17,USC00032930,"GRAVETTE, AR US",36.4261,-94.448,384
18,USC00034638,"MARIANNA 2 S, AR US",34.73294,-90.76633,77.4
19,USC00040983,"BORREGO DESERT PARK, CA US",33.2559,-116.4036,246.9
20,USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1
